SWIS,Longitude,Latitude,LandfillName,City,LandfillOwnershipType,Owner,Class,TypeOfWaste,TypeOfWaste2,CurrentLandfillStatus,YearOpened,YearClosed,YearRange,Converted,ConversionType,SiteConversion,SiteRegulartoryStatus,DocumentationLink
"01-AA-0001","[122.086476, 122.08398170000001, 122.08210290000001, 122.0817466, 122.08339860000001, 122.0859253, 122.08631399999999, 122.08660549999999, 122.0869943, 122.0900716, 122.0917237, 122.09055749999999, 122.08974769999999, 122.08903500000001, 122.088128]","[37.581434200000004, 37.5767105, 37.576941600000005, 37.576094399999995, 37.5752729, 37.57386079999999, 37.5751188, 37.5774294, 37.578892700000004, 37.5788157, 37.5796372, 37.5800479, 37.5808181, 37.5811261, 37.5810234]","Turk Island Land","Union City","Private","Turk Island Company","Class III","Non-hazardous Waste","nan","Closed","1962.0","1986.0","This landfill consisted of three separate parcels that opened and closed at different times. The dates listed correspond to the largest parcel of the three.","Not Converted","nan","nan","Surrendered","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/5160"
"01-AA-0006","[122.1967746, 122.19372959999998, 122.19146210000001, 122.1935352, 122.1948634, 122.1961267, 122.1970013, 122.19816750000001, 122.19910690000002, 122.20020819999999, 122.2008561, 122.2014716, 122.20186029999999, 122.20218419999999, 122.2024757, 122.2025081, 122.20237859999999, 122.20218419999999, 122.2015039, 122.2022166]","[37.713497499999995, 37.7090385, 37.7043999, 37.70347720000001, 37.703169700000004, 37.7030159, 37.703144099999996, 37.703374700000005, 37.7037591, 37.7042974, 37.7049381, 37.7055275, 37.7061939, 37.7069114, 37.7077572, 37.7085516, 37.709346000000004, 37.7099867, 37.7107811, 37.7119599]","Davis Street Sanitary Landfill","San Leandro","Private/Public","Oakland Scanvenger Company / Waste Management of Alameda County / East Bay Regional Park District ","Class III","Non-Hazardous Waste","nan","Closed","1940.0","1984.0","nan","Fully Converted","Public","Oyster Bay Regional Park","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/5225"
"01-AA-0008","[121.99635959999999, 121.988295, 121.99169499999999, 121.9944108, 121.99449369999999, 121.9948876, 121.9972511, 121.9995523]","[37.498418799999996, 37.4908525, 37.488385, 37.4914446, 37.491642, 37.4916585, 37.4901287, 37.4934021]","Tri Cities Recycling & Disposal","Fremont","Public","Waste Management of Alameda County","Class II / Class III","nan","nan","Closed","1967.0","2012.0","nan","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/5411"
"01-AA-0011","[122.3119327, 122.3150361, 122.316125, 122.31707779999999, 122.32083459999998, 122.3231757, 122.3232846, 122.3236657, 122.324428, 122.32516299999999, 122.32578909999998, 122.32614299999999, 122.3264152, 122.32568020000001, 122.3260341, 122.3243463, 122.32372020000001, 122.3230668, 122.3197457, 122.3173501, 122.3162611, 122.31604340000001, 122.3159889, 122.3138928]","[37.890025200000004, 37.889509600000004, 37.8881776, 37.8892518, 37.8891444, 37.889187299999996, 37.888693200000006, 37.8881131, 37.887898299999996, 37.8880272, 37.8880272, 37.8883924, 37.8907557, 37.890906, 37.892517299999994, 37.8924314, 37.8918943, 37.8898104, 37.889874799999994, 37.8908631, 37.8908846, 37.8910994, 37.8915935, 37.891658]","Albany Landfill","Albany","Public","City of Albany","Class III","Non-Hazardous Waste","nan","Closed","1963.0","1983.0","Reports say the dump opened in 1963 but the City of Albany website says the site was opened in the 1950's/1960's","Fully Converted","Public","Albany Bulb","Permitted","nan"
"01-AA-0012","[122.2267763, 122.2267317, 122.22813670000001, 122.2285492, 122.2354959, 122.2358193, 122.2359977, 122.2359977, 122.23583049999999]","[37.7480251, 37.745512299999994, 37.745512299999994, 37.7456357, 37.7471258, 37.747372600000006, 37.74765479999999, 37.747848700000006, 37.7481133]","City Of Alameda SW II-2 Disposal Site / Doolittle Landfill","Alameda","Public","City of Alameda","Class III","Non-Hazardous Waste","nan","Closed","1953.0","1985.0","nan","Not Converted","nan","nan","Permitted","nan"
"01-AA-0015","[122.2302727, 122.23015670000001, 122.2300314, 122.22994540000002, 122.2297957, 122.2293523, 122.229343, 122.22932240000002, 122.2292906, 122.2294608, 122.2296741, 122.2297602, 122.22983870000002, 122.22994720000001, 122.2300314, 122.23012309999999, 122.2302278, 122.23037, 122.23041299999998, 122.23034569999999]","[37.8320421, 37.832017, 37.831968200000006, 37.831909100000004, 37.8317894, 37.831530799999996, 37.831468799999996, 37.8314289, 37.8313698, 37.8311984, 37.831286999999996, 37.8313402, 37.831355, 37.831386, 37.8313949, 37.831421500000005, 37.831439200000005, 37.831458399999995, 37.8315249, 37.831949]","Moraga Ave DS/AKA City Of Piedmont DS ","Piedmont","Public","City of Piedmont","nan","nan","nan","nan","1947.0","1988.0","nan","nan","nan","nan","Exempt","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/296545"
"01-AA-0020","[121.8386518, 121.837704, 121.8376594, 121.84098229999998, 121.8415063, 121.8415844, 121.8403467, 121.84030209999999, 121.8403132, 121.83880790000002]","[37.6649069, 37.6641389, 37.6595224, 37.6614467, 37.6612437, 37.66177329999999, 37.662082299999994, 37.6648186, 37.665710100000005, 37.665092200000004]","Pleasanton Waste Disposal Site","Pleasanton","Private","John Pietronave (1950 - 1969) / Pleasanton Garbage Service Inc. ","Class II","Non-Hazardous Waste","nan","Closed","1950.0","1976.0","This landfill was split into multiple sites with one closing in 1974 and the other closing in 1976. The site also has multiple addresses at 2500 Vineyard Avenue and 750 Pietronave Lane. ","Partially Converted","Residential","Mobile/Manufactured Homes","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/363400"
"01-AA-0271","[122.12172179999999, 122.121108, 122.121108, 122.1201447, 122.1198592, 122.11971650000001, 122.1200162, 122.1200447, 122.1202588, 122.1204372, 122.12058, 122.1208511, 122.1212436, 122.121629, 122.12195009999999, 122.1224996, 122.1227851, 122.1228993, 122.1227922, 122.1229635, 122.12286359999999, 122.12270659999999, 122.1226067, 122.1224425, 122.12224270000002]","[37.7393259, 37.7394445, 37.739517799999994, 37.740025700000004, 37.7400201, 37.7394162, 37.7393598, 37.7391849, 37.7388406, 37.7386374, 37.7383271, 37.7381634, 37.7380562, 37.7380731, 37.7380957, 37.7383891, 37.738366600000006, 37.7385472, 37.7386657, 37.73888579999999, 37.738993, 37.7389648, 37.738823700000005, 37.738823700000005, 37.7389366]","Chabot Golf Course Fill","Oakland","Public","City of Oakland","nan","nan","nan","Closed","1924.0","1990.0","nan","Fully Converted","Commercial","Lake Chabot Golf Course","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/190452"
"01-AA-0288","[122.04335309999999, 122.03505009999999, 122.04389750000001]","[37.6129864, 37.60591289999999, 37.6061502]","U.S. Pipe Foundry","Union City","Private","OSP, LLC (of Atlanta, GA)","Class II","Hazardous Waste","nan","Closed","nan","2003.0","Opening Year Unkonwn","Partially Converted","Commercial","US Pipe","Unpermitted","nan"
"01-AC-0001","[122.31857509999999, 122.3146006, 122.3201812, 122.32475459999999]","[37.875823, 37.870687100000005, 37.86956970000001, 37.8745766]","Berkeley Landfill","Berkeley","Public","City of Berkeley","Class II","Non-Hazardous Waste","nan","Closed","1950.0","1983.0","The site began operating in the mid 1950's no specific start year was listed.","Fully Converted","Public","Cesar Chavez Park","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/6810"
