,the_geom,Geographic_Area_Name,estimatedPercentBelowPovertyLevel
0,"[[37.785686985, -122.459192171], [37.785553986, -122.445033169], [37.783933985, -122.456826171], [37.784034985, -122.45463117], [37.787651986, -122.443766169], [37.785828985, -122.458075171], [37.787053986, -122.44848117], [37.783831985, -122.459058171], [37.783983985, -122.45572417], [37.787442986, -122.44541517]]",Census Tract 154.02,0.00%
1,"[[37.789801987, -122.440840169], [37.790123986, -122.44594717], [37.791003986, -122.44613017], [37.791635987, -122.441168169], [37.788065987, -122.440501169], [37.791212986, -122.444491169], [37.788368986, -122.445602169], [37.790759987, -122.440997169], [37.788993986, -122.440683169], [37.791003986, -122.44613017]]",Census Tract 134.02,0.00%
2,"[[37.510203987, -122.111370087], [37.516990988, -122.088490084], [37.536510992, -122.065593083], [37.515589988, -122.082470083], [37.514994988, -122.089135084], [37.516246989, -122.074315082], [37.51684899, -122.072567082], [37.514335988, -122.089388084], [37.513524989, -122.089398084], [37.523438988, -122.101053087]]",Census Tract 4443.03,0.00%
3,"[[37.942224996, -122.486811194], [37.944923996, -122.492886195], [37.944234996, -122.492237195], [37.938526995, -122.494095194], [37.941337996, -122.484462193], [37.943611996, -122.492755194], [37.941692995, -122.498967196], [37.940288996, -122.484620193], [37.944209995, -122.497351195], [37.942031996, -122.485152194]]",Census Tract 1220,0.00%
4,"[[37.781331982, -122.499884177], [37.782516982, -122.493451176], [37.782221981, -122.507787178], [37.784423981, -122.509843178], [37.781131981, -122.504173178], [37.781231981, -122.502025178], [37.782164981, -122.509987179], [37.782226981, -122.508629178], [37.781633982, -122.493407176], [37.782283981, -122.508493178]]",Census Tract 9802,0.00%
5,"[[37.99678401, -122.35598618], [37.98912101, -122.353234179], [37.992138009, -122.355680179], [37.99218101, -122.35646718], [37.99214601, -122.355781179], [37.99079901, -122.353627179], [37.99542801, -122.35636218], [37.99218001, -122.353667179], [37.99220801, -122.35653518], [37.989210009, -122.353256179]]",Census Tract 9800,0.00%
6,"[[37.764825981, -122.492394174], [37.773899984, -122.46163317], [37.771889981, -122.499196176], [37.766289983, -122.458845169], [37.766169983, -122.454606168], [37.764926981, -122.489935173], [37.774691984, -122.45526617], [37.771882984, -122.447325168], [37.764867981, -122.491203174], [37.76465598, -122.496644174]]",Census Tract 9803,0.00%
7,"[[37.802719, -122.264842143], [37.800964, -122.263004143], [37.800993, -122.267089143], [37.803246001, -122.264506144], [37.801226, -122.267239144], [37.801666, -122.264321144], [37.805124001, -122.264791144], [37.802502, -122.266471144], [37.804599001, -122.265126144], [37.803744, -122.265674144]]",Census Tract 4034.02,0.00%
8,,Census Tract 4511.03,0.00%
9,"[[37.799306999, -122.280305146], [37.796893997, -122.301213149], [37.802635998, -122.288727148], [37.796271998, -122.282220145], [37.801879999, -122.283871147], [37.802767998, -122.287417147], [37.799649999, -122.280093146], [37.802536998, -122.286031147], [37.798646999, -122.280729146], [37.794846996, -122.314399151]]",Census Tract 9820,0.00%
