OBJECTID,Closed Roll Year,Property Location,Parcel Number,Block,Lot,Volume Number,Use Code,Use Definition,Property Class Code,Property Class Code Definition,Year Property Built,Number of Bathrooms,Number of Bedrooms,Number of Rooms,Number of Stories,Number of Units,Zoning Code,Construction Type,Lot Depth,Lot Frontage,Property Area,Basement Area,Lot Area,Lot Code,Tax Rate Area Code,Percent of Ownership,Exemption Code,Exemption Code Definition,Status Code,Misc Exemption Value,Homeowner Exemption Value,Current Sales Date,Assessed Fixtures Value,Assessed Improvement Value,Assessed Land Value,Assessed Personal Property Value,Assessor Neighborhood District,Assessor Neighborhood Code,Assessor Neighborhood,Supervisor District,Supervisor District 2012,Analysis Neighborhood,the_geom,Row ID,data_as_of,data_loaded_at,date_dat_2,time_dat_2,POINT_X,POINT_Y
5,2017,0052 0050 GRENARD             TE0000,0502009,0502,009,4,MRES,Multi-Family Residential,F,Flats & Duplex,2012,6,6,15,3,2,RH3,D,0,0,5551,1000,2818,NA,1000,1,NA,,NA,0,0,2000-09-26 0:00:00,00:00:00.000,0,2245392,1152933,0,8.0,8E,Russian Hill,3,2,Russian Hill,20170502009,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4234399,37.80120177
104,2017,0000 0421 ARGUELLO            BL0000,1433003,1433,003,10,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,15,21,45,4,8,RM2,NA,20,0,14562,0,6000,R,1000,1,NA,,NA,0,0,2006-07-10 0:00:00,00:00:00.000,0,2775754,2870156,0,1.0,1B,Inner Richmond,1,1,Inner Richmond,20171433003,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4593601,37.78272341
121,2017,0000 1150 OCEAN               AV0000,3180006,3180,006,22,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2012,0,0,0,6,173,NC2,NA,0,0,160983,0,80150,O,1000,1,NA,,NA,0,0,,,0,63136726,3580947,723342,4.0,4S,Sunnyside,7,7,West of Twin Peaks,20173180006,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4550406,37.72398661
124,2017,0000 0248 OCEAN               AV0000,3211009,3211,009,22,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,9,12,21,4,5,NC1,D,0,0,12058,3112,4277,NA,1000,0.5,11,Home Owners,NA,0,7000,2007-07-26 0:00:00,00:00:00.000,0,1979620,613980,0,10.0,10H,Mission Terrace,11,11,Outer Mission,20173211009,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4420903,37.72342836
196,2017,0000 0019 TEHAMA              ST0000,3736079,3736,079,25,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,5,0,13,4,5,C3OSD,NA,75,0,6491,0,1875,R,1016,1,NA,,NA,0,0,2006-06-06 0:00:00,00:00:00.000,0,2058068,706493,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20173736079,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3959177,37.78753306
197,2017,0178 0166 TOWNSEND            ST0000,3788012,3788,012,25,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2012,0,0,0,6,95,SLI,NA,75,0,70000,0,22000,R,1000,1,3,Welfare,NA,11152344,0,2005-08-10 0:00:00,00:00:00.000,0,43078252,12095863,7186,9.0,9H,South Beach,6,6,Financial District/South Beach,20173788012,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.392511,37.77973454
200,2017,1030 1028 WISCONSIN           ST0000,4219003,4219,003,27,MRES,Multi-Family Residential,F,Flats & Duplex,2012,6,7,14,3,2,RH2,NA,0,0,3430,0,2500,R,1000,0.334,NA,,NA,0,0,2014-12-22 0:00:00,00:00:00.000,0,735241,735241,0,9.0,9E,Potrero Hill,10,10,Potrero Hill,20174219003,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3989623,37.75425949
236,2017,0000 1280 HAMPSHIRE           ST0000,4266013,4266,013,28,MRES,Multi-Family Residential,A,Apartment 4 units or less,2012,7,0,13,4,3,RH3,NA,0,0,5357,1275,2448,NA,1000,1,NA,,NA,0,0,2008-05-13 0:00:00,00:00:00.000,0,1852549,452705,0,9.0,9C,Inner Mission,9,9,Mission,20174266013,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4074589,37.75174906
249,2017,0000 0105 MANCHESTER          ST0000,5544020,5544,020,33,MRES,Multi-Family Residential,DD,2 Dwellings on 1 Parcel 4 units or less,2012,2,2,10,2,2,RH2,NA,75,0,2054,0,2250,R,1000,0.5,NA,,NA,0,0,2008-03-26 0:00:00,00:00:00.000,0,428566,891264,0,9.0,9A,Bernal Heights,9,9,Bernal Heights,20175544020,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4139994,37.74491189
257,2017,0000 4209 24TH                ST0000,6505047,6505,047,39,MRES,Multi-Family Residential,DA,Dwellings - Apt 4 units or less,2012,5,3,11,4,2,RH2,NA,0,0,3631,0,2596,NA,1000,1,11,Home Owners,NA,0,7000,2008-12-18 0:00:00,00:00:00.000,0,2071113,832184,0,5.0,5C,Noe Valley,8,8,Noe Valley,20176505047,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4367266,37.75089075
615,2018,0000 0019 TEHAMA              ST0000,3736184,3736,184,25,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,1,0,0,1,0,NA,NA,0,0,952,0,0,NA,1016,1,NA,,NA,0,0,,,0,0,0,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20183736184,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3959177,37.78753306
616,2018,0000 0019 TEHAMA #1           ST0000,3736185,3736,185,25,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,1,1,3,1,0,NA,NA,0,0,931,0,0,NA,1016,1,NA,,NA,0,0,,,0,0,0,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20183736185,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3959177,37.78753306
617,2018,0000 0019 TEHAMA #2           ST0000,3736186,3736,186,25,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,1,1,3,1,0,NA,NA,0,0,952,0,0,NA,1016,1,NA,,NA,0,0,,,0,0,0,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20183736186,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3959177,37.78753306
