,Geographic_Area_Name
8,Census Tract 4511.03
85,Census Tract 1526.01
133,Census Tract 2014.03
141,Census Tract 4506.01
150,Census Tract 3553.06
151,Census Tract 5119.18
179,Census Tract 5033.12
232,Census Tract 2533
274,Census Tract 1538.07
279,Census Tract 1516.02
292,Census Tract 6132
295,Census Tract 4351.03
299,Census Tract 5122
322,Census Tract 4507.01
381,Census Tract 5118
399,Census Tract 1516.01
406,Census Tract 4511.04
449,Census Tract 1542.02
467,Census Tract 1526.02
474,Census Tract 3470
480,Census Tract 5117.07
486,Census Tract 1503.03
517,Census Tract 5119.11
541,Census Tract 3461.02
567,Census Tract 1537.07
597,Census Tract 1543.05
605,Census Tract 3551.12
651,Census Tract 1540
677,Census Tract 4301.02
683,Census Tract 2015
720,Census Tract 1506.12
724,Census Tract 6134
726,Census Tract 3452.03
729,Census Tract 2535.01
799,Census Tract 5042.02
826,Census Tract 1524.01
839,Census Tract 2529.03
914,Census Tract 1537.11
937,Census Tract 1537.05
968,Census Tract 1330
1009,Census Tract 2014.01
1024,Census Tract 6135.01
1036,Census Tract 1541
1040,Census Tract 1535.02
1054,Census Tract 1513.09
1080,Census Tract 3560.02
1102,Census Tract 6137.02
1118,Census Tract 1515.05
1119,Census Tract 1501
1157,Census Tract 5135
1160,Census Tract 1537.09
1176,Census Tract 5126.02
1195,Census Tract 2012
1212,Census Tract 1537.10
1251,Census Tract 1130
1280,Census Tract 4351.02
1282,Census Tract 2019
1290,Census Tract 1311
1303,Census Tract 1543.06
1317,Census Tract 1322
1325,Census Tract 3551.07
1326,Census Tract 1542.01
1340,Census Tract 1537.08
1353,Census Tract 1536.02
1362,Census Tract 2011.02
1367,Census Tract 2017
1376,Census Tract 6138
1495,Census Tract 1543.08
1506,Census Tract 3922.01
1515,Census Tract 1543.04
1567,Census Tract 1505.01
1569,Census Tract 1543.07
1591,Census Tract 2018
1646,Census Tract 1505.02
1750,Census Tract 179.03
