"meeting_date","file_number","title","type","action","ayes","noes","ayes_names","noes_names","excused","is_unanimous","primary_sponsor","co_sponsors","fiscal_impact","description"
"2025-12-02","251049","Contract Amendment - Catholic Charities - HIV Health Services Rental Subsidies Services - Not to Exceed $13,426,414","Resolution","ADOPTED","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","Mandelman","","True","Resolution approving Amendment No. 1 to the agreement between City, acting by and through, the Department of Public Health (DPH), and Catholic Charities, to provide HIV health services rental subsidies services, to extend the term by five years from June 30, 2026, for a total term of July 1, 2021, through June 30, 2031, and to increase the amount by $7,317,206 for a total not to exceed amount of $13,426,414; and to authorize DPH to enter into amendments or modifications to the agreement that do "
"2025-12-02","251050","Real Property Acquisition - Easement from Sunol Glen Unified School District - Not to Exceed $50,000","Resolution","ADOPTED","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","","","False","Resolution approving the revised terms and conditions and authorizing the General Manager of the San Francisco Public Utilities Commission and/or City’s Director of Property to execute a Purchase and Sale Agreement and Easement Deeds with Sunol Glen Unified School District for the acquisition of a 4,008-square-foot easement for an underground water pipeline and associated appurtenances and a 34,834-square-foot temporary construction easement on and across a portion of Alameda County Assessor's P"
"2025-12-02","251113","Accept and Expend Grant - Retroactive - Federal Emergency Management Agency - New Training Facility - $637,200","Resolution","ADOPTED","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","","Chan, Mandelman","False","Resolution retroactively authorizing the Fire Department to accept and expend a grant in the amount of $637,200 from the Federal Emergency Management Agency through the California Office of Emergency Services for the Fire Department’s new Training Facility for the performance period of August 1, 2024, through April 20, 2027, and waiving indirect costs. (Fire Department) Supervisor Mandelman requested to be added as a co-sponsor."
"2025-12-02","251083","Behested Payment Waiver - Economic Revitalization Efforts","Ordinance","ADOPTED","8","3","Chan, Chen, Dorsey, Mahmood, Mandelman, Sauter, Sherrill, Wong","Fielder, Melgar, Walton","","False","","Sherrill, Mandelman","False","Resolution authorizing a six-month waiver of the City’s Behested Payments Ordinance for the Mayor, members of the Mayor’s Office, and the Executive Director of the Office of Economic and Workforce Development to solicit donations from nonprofits, private organizations, grantmakers, foundations, and other persons and entities for the purpose of supporting the"
"2025-12-02","251107","Behested Payment Waiver - Temporary Shelter and Homeless Services","Ordinance","ADOPTED","10","1","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Wong","Walton","","False","","Mandelman","False","Resolution authorizing the Department of Homelessness and Supportive Housing’s Executive Director, Chief Deputies, Deputy Directors and Program Directors to solicit donations from various private entities and organizations to support the expansion of temporary shelter and other homeless services to support people experiencing homelessness, notwithstanding the Behested Payment Ordinance. (Department of Homelessness and Supportive Housing)"
"2025-12-02","251086","Agreement - Owners' Association for Administration/Management Renew and Expand of Dogpatch and Northwest Potrero Hill Green Benefit District","Resolution","ADOPTED","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","Walton","","False","Resolution approving an agreement with the nonprofit Owners’ Association for the administration and management of the property-based business improvement district known as the ""Dogpatch & Northwest Potrero Hill Green Benefit District;"" pursuant to California Streets and Highway Code, Section 36651, for a period commencing January 1, 2026, through December 31, 2040."
"2025-12-02","240637","Planning Code, Zoning Map - Central Neighborhoods Large Residence SUD, Corona Heights Large Residence SUD","Ordinance","PASSED ON FIRST READING","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","Mandelman","","False","Ordinance amending the Planning Code to expand the boundaries of the Central Neighborhoods Large Residence Special Use District (SUD), and to apply its controls to all lots within the SUD, with some exceptions; to delete the Corona Heights Large Residence SUD, and as a result to merge it into the Central Neighborhoods Large Residence SUD; amending the Zoning Map to reflect the deletion and boundary expansion; affirming the Planning Department’s determination under the California Environmental Qu"
"2025-12-02","250982","Administrative Code - West SoMa Entertainment Zone","Ordinance","PASSED ON FIRST READING","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","Dorsey","Mandelman","False","Ordinance amending the Administrative Code to eliminate the Folsom Street Entertainment Zone and create the West SoMa Entertainment Zone, to include the following streets: Folsom Street, between 12th and Russ Streets; Hallam Street, between Folsom Street and Brush Place; Langton Street, between Folsom Street and Decker Alley; Russ Street, between Minna and Folsom Streets; 7th Street between Folsom and Harrison Streets; 8th Street between Folsom and Harrison Streets; Harrison Street between 7th a"
"2025-12-02","251137","Presidential Appointment, Board of Appeals - Robin Abad Ocubillo","Motion","APPROVED","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","","","False","Motion approving the President of the Board of Supervisors Rafael Mandelman’s nomination of Robin Abad Ocubillo for appointment to the Board of Appeals, for a term ending July 1, 2026. (Clerk of the Board) (Charter, Section 4.106, provides that this nomination is subject to approval by the Board of Supervisors and shall be the subject of a public hearing and vote within 60 days from the date the nomination is transmitted to the Clerk of the Board. If the Board fails to act on the nomination with"
"2025-12-02","250983","Police Code - Vehicle Sideshows","Ordinance","PASSED ON FIRST READING","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","Sauter","Mandelman, Sherrill, Dorsey, Wong","False","Ordinance amending the Police Code to increase the fine for misdemeanor convictions for sideshow offenses from a maximum of $500 to a maximum of $1,000. Supervisor Wong requested to be added as a co-sponsor."
"2025-12-02","251051","Public Works, Port Codes - Enhanced Enforcement for Vending Targeted Merchandise Without a Permit","Ordinance","PASSED ON FIRST READING","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","","Dorsey, Mandelman, Sauter, Sherrill","False","Ordinance amending the Public Works Code in accordance with California Senate Bill 276 (2025) to authorize the enforcement of vending permit requirements through warnings, infractions, misdemeanors, and fines up to $1,000 for vending certain types of merchandise that are common targets of retail theft, on City property without a permit; amending the Port Code to conform with those amendments; making additional conforming amendments consistent with Senate Bill 276; accepting the recommendations a"
"2025-12-02","250991","Prioritize Public Safety Response to Drug Activity Near Parks, Playgrounds, and Schools","Resolution","ADOPTED","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","Sherrill","Dorsey, Sauter","False","Resolution urging the San Francisco Police Department (SFPD) to develop and implement a comprehensive enforcement and intervention plan to address drug use or suspected drug activity especially within 250 feet of parks, playgrounds, schools, and youth centers including issuing citations, conducting assessments, and removing individuals for processing or detoxification services."
"2025-12-02","251041","Liquor License Issuance - 3117-16th Street - Roxie Theater","Resolution","ADOPTED","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","","","False","Resolution determining that the issuance of a Type-69 Special On-Sale Beer and Wine Theatre liquor license to The Roxie Theatre, to do business as Roxie Theater, located at 3117-16th Street (District 9), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose conditions on the issuance of the license. (Pub"
"2025-12-02","251158","Supporting the Stop Ballroom Bribery Act (S. 3191 Warren) (H.R. 6085 Garcia)","Resolution","ADOPTED","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","Chan","","False","Resolution supporting the passage of the Stop Ballroom Bribery Act, S.3191 authored by United States (U.S.) Senator Elizabeth Warren and H.R. 6085 authored by U.S. Representative Robert Garcia, to root out pay-to-play by imposing donation restrictions to projects involving public property; and calling on local donors to return their donations."
